q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
-0.127459,0,-0.128372,700,9.837
-0.128357,0,-0.0598801,668,10.313
-0.128357,0,-0.138259,668,9.738
-0.129254,0,-0.107002,668,9.992
-0.129254,0,-0.0523109,635,10.193
-0.129254,0,-0.127568,652,9.936
-0.130152,0,-0.0506937,635,10.467
-0.130152,0,-0.121049,668,9.356
-0.130152,0,-0.0987269,668,10.086
-0.130152,0,-0.0537082,635,10.099
-0.130152,0,-0.121772,668,9.979
-0.130152,0,-0.0506629,700,9.794
-0.130152,0,-0.11275,619,10.374
-0.130152,0,-0.10086,603,9.591
-0.130152,0,-0.0480451,668,10.306
-0.130152,0,-0.136205,635,9.768
-0.130152,0,-0.0477308,635,10.17
-0.130152,0,-0.101819,603,9.826
-0.130152,0,-0.0886712,603,9.917
-0.130152,0,-0.0484611,635,10.405
-0.130152,0,-0.136331,555,9.694
-0.130152,0,-0.0365589,603,10
-0.130152,0,-0.104851,635,10.034
-0.130152,0,-0.0747199,587,9.997
-0.130152,0,-0.0442719,619,9.996
-0.130152,0,-0.113215,571,10.005
-0.130152,0,-0.0345104,635,9.996
-0.130152,0,-0.110262,635,9.961
-0.130152,0,-0.0701227,571,10.006
-0.130152,0,-0.034208,571,9.952
-0.130152,0,-0.125388,571,10.179
-0.130152,0,-0.034037,652,10.048
-0.130152,0,-0.115551,603,10.19
-0.130152,0,-0.0568976,587,9.644
-0.130152,0,-0.0242879,603,10.078
-0.130152,0,-0.0980196,587,9.944
-0.130152,0,-0.0160771,587,9.962
-0.130152,0,-0.0793452,635,9.998
-0.130152,0,-0.0609194,571,10.084
-0.130152,0,-0.052845,603,9.973
-0.130152,0,-0.113227,635,9.95
-0.130152,0,-0.0235503,619,10.522
-0.130152,0,-0.0896111,652,9.571
-0.130152,0,-0.0660093,635,9.962
-0.130152,0,-0.0348052,587,10.002
-0.130152,0,-0.060511,603,11.269
-0.130152,0,-0.0246128,635,8.964
-0.130152,0,-0.119518,635,9.844
-0.130152,0,-0.0806748,635,9.893
-0.130152,0,-0.0409979,635,10.022
-0.130152,0,-0.122588,603,9.958
-0.130152,0,-0.0307014,635,9.907
-0.130152,0,-0.117561,635,10.203
-0.130152,0,-0.0778072,635,9.96
-0.130152,0,-0.0425715,603,9.952
-0.130152,0,-0.106861,603,10.39
-0.130152,0,-0.033903,603,9.776
-0.130152,0,-0.114531,603,9.796
-0.130152,0,-0.0638033,635,10.064
-0.130152,0,-0.0492161,635,10.128
-0.130152,0,-0.128925,603,9.824
-0.130152,0,-0.0342239,635,9.989
-0.130152,0,-0.127126,603,10.028
-0.130152,0,-0.0687699,635,10.01
-0.130152,0,-0.0444495,635,10.014
