q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
0.300696,0,0.214927,-1179,9.91
0.299798,0,0.12272,-1179,10.051
0.299798,0,0.217372,-1228,9.959
0.299798,0,0.144605,-1179,10.366
0.299798,0,0.164122,-1195,9.837
0.299798,0,0.222828,-1212,9.88
0.299798,0,0.124118,-1195,10.05
0.299798,0,0.216758,-1212,9.924
0.299798,0,0.15951,-1228,10.019
0.299798,0,0.164317,-1179,9.985
0.299798,0,0.228983,-1195,10.092
0.2989,0,0.12677,-1228,10.186
0.2989,0,0.21687,-1228,10.057
0.2989,0,0.169921,-1195,9.622
0.2989,0,0.160248,-1228,10.218
0.2989,0,0.215524,-1228,9.848
0.2989,0,0.130512,-1228,10.181
0.2989,-0.897599,0.214197,-1212,9.847
0.298003,0,0.158806,-1195,9.932
0.298003,0,0.155471,-1179,9.995
0.298003,0,0.216755,-1067,10.474
0.298003,0,0.14568,-1195,9.89
0.298003,0,0.221796,-1228,9.634
0.298003,0,0.163214,-1195,10
0.298003,0,0.169962,-1228,10.177
0.298003,0,0.220836,-1228,9.862
0.298003,0,0.135062,-1228,10.162
0.298003,0,0.21142,-1228,9.781
0.298003,0,0.156227,-1179,10.004
0.298003,0,0.184949,-1228,10.217
0.298003,0,0.233797,-1195,9.814
0.298003,0,0.127264,-1179,10.016
0.298003,0,0.228592,-1163,10.082
0.298003,0,0.136151,-1179,10.271
0.298003,0,0.162125,-1228,9.898
0.298003,0,0.223568,-1212,9.813
0.298003,0,0.127773,-1195,10.009
0.298003,0,0.213772,-1228,9.897
0.298003,0,0.125459,-1195,10.193
0.297105,0,0.150285,-1228,9.773
0.297105,0,0.224086,-1195,10.073
0.297105,0,0.133509,-1195,10.022
0.297105,0,0.227698,-1228,10.03
0.297105,0,0.136719,-1195,9.949
0.297105,0,0.165922,-1228,9.943
0.297105,0,0.211962,-1228,10.019
0.297105,0,0.141817,-1228,10.12
0.297105,0,0.2198,-1228,9.985
0.297105,0,0.146287,-1244,10.501
0.297105,0,0.184448,-1228,9.53
0.297105,0,0.228558,-1260,9.868
0.297105,0,0.145656,-1195,10.168
0.297105,0,0.23116,-1195,9.945
0.297105,0,0.139386,-1228,9.93
0.297105,0,0.165136,-1212,10.043
0.297105,0,0.214453,-1228,9.947
0.297105,0,0.109208,-1228,9.971
0.296208,0,0.211406,-1228,10.097
0.296208,0,0.130283,-1163,9.896
0.296208,0,0.156773,-1228,9.991
0.296208,0,0.219455,-1179,10.07
0.296208,0,0.163999,-1195,11.135
0.296208,0,0.22495,-1260,8.857
0.296208,0,0.13533,-1195,10.034
0.296208,0,0.154912,-1195,9.999
0.296208,0,0.215676,-1195,9.93
0.296208,0,0.132245,-1195,10.114
0.296208,0,0.210283,-1195,9.871
0.296208,0,0.139548,-1228,10.061
0.296208,0,0.177089,-1244,9.952
0.296208,0,0.226322,-1244,9.958
0.296208,0,0.139253,-1228,10.196
0.296208,0,0.227704,-1195,9.998
0.296208,0,0.126803,-1195,9.97
0.296208,0,0.16778,-1244,9.85
0.296208,0,0.216671,-1228,10.003
0.29531,0,0.114105,-1228,9.992
0.29531,0,0.22055,-1228,10.055
0.29531,0,0.15081,-1244,9.988
0.29531,0,0.185559,-1260,9.981
0.29531,0,0.220841,-1195,10.089
0.29531,0,0.136199,-1228,9.934
0.29531,0,0.215858,-1195,10.074
0.29531,0,0.14517,-1244,10.132
0.29531,0,0.184508,-1195,9.979
0.29531,0,0.215858,-1195,10.488
0.29531,0,0.13065,-1195,9.509
0.29531,0,0.209183,-1228,9.834
0.29531,0,0.114625,-1195,10.338
0.29531,0,0.162215,-1212,9.586
