q [rad],qvel [rad/s],tau [Nm],i [mA],dt [ms]
-0.0664223,0,-0.0377517,71,9.96
-0.0664223,0,-0.0279545,71,10.221
-0.0664223,0,-0.0350099,71,9.837
-0.0664223,0,-0.0315887,71,10.065
-0.0664223,0,-0.0284952,88,9.887
-0.0664223,0,-0.0378375,71,10.067
-0.0664223,0,-0.0260173,71,9.977
-0.0664223,0,-0.0359386,71,9.985
-0.0664223,0,-0.0338039,71,9.963
-0.0664223,0,-0.0295772,71,10.096
-0.0664223,0,-0.036754,71,10.038
-0.0664223,0,-0.0276514,168,10.291
-0.0664223,0,-0.0393006,71,9.603
-0.0664223,0,-0.031041,88,10.01
-0.0664223,0,-0.0285245,71,9.974
-0.0664223,0,-0.0372261,71,10.225
-0.0664223,0,-0.0261724,88,10.071
-0.0664223,0,-0.0369064,71,10.059
-0.0664223,0,-0.0324489,71,9.705
-0.0664223,0,-0.0299634,71,9.973
-0.0664223,0,-0.0406644,88,9.962
-0.0664223,0,-0.0287044,71,10.058
-0.0664223,0,-0.0357935,168,9.935
-0.0664223,0,-0.0365352,71,10.618
-0.0664223,0,-0.0310862,71,9.435
-0.0664223,0,-0.0389437,71,9.865
-0.0664223,0,-0.0293747,168,10.499
-0.0664223,0,-0.0393331,71,9.786
-0.0664223,0,-0.03432,71,9.916
-0.0664223,0,-0.0297628,71,9.911
-0.0664223,0,-0.0392307,71,10.071
